name,affinity
antivir2245,-7.5
antivir98,-7.5
antivir3235,-5.7
antivir1621,-5.9
antivir1881,-6.3
antivir1709,-7.0
antivir2257,-6.2
antivir693,-6.6
antivir3684,-5.3
antivir491,-6.1
antivir241,-6.3
antivir3178,-5.6
antivir3303,-5.5
antivir2755,-5.2
antivir1015,-5.5
antivir2244,-7.1
antivir2351,-6.6
antivir3495,-6.6
antivir125,-7.7
antivir686,-5.7
antivir789,-6.0
antivir386,-5.3
antivir492,-5.5
antivir203,-7.6
antivir2182,-6.1
antivir433,-6.0
antivir2706,-7.3
antivir1369,-6.8
antivir113,-7.6
antivir1767,-6.5
antivir3558,-6.4
antivir923,-6.6
antivir37,-6.3
antivir431,-6.0
antivir2035,-6.3
antivir1180,-5.8
antivir2285,-5.9
antivir683,-6.6
antivir894,-5.7
antivir2388,-7.0
antivir3158,-5.4
antivir2410,-6.9
antivir3142,-4.9
antivir860,-6.6
antivir552,-6.0
antivir2195,-5.5
antivir3351,-5.0
antivir2124,-6.1
antivir3858,-6.5
antivir3701,-6.1
antivir1066,-5.7
antivir437,-7.3
antivir3882,-6.4
antivir753,-6.4
antivir2415,-5.9
antivir3210,-5.3
antivir3256,-5.7
antivir2849,-6.5
antivir3053,-6.5
antivir2926,-5.0
antivir1971,-6.1
antivir1270,-6.2
antivir3519,-6.3
antivir2253,-6.4
antivir1655,-6.2
antivir502,-6.5
antivir2900,-6.8
antivir3742,-6.5
antivir46,-5.4
antivir346,-5.6
antivir1159,-6.6
antivir3820,-6.1
antivir2516,-6.2
antivir335,-5.8
antivir3925,-5.9
antivir3353,-6.2
antivir3299,-5.7
antivir2568,-5.4
antivir534,-5.4
antivir3561,-5.0
antivir3428,-5.9
antivir3035,-5.9
antivir1077,-5.9
antivir2586,-5.6
antivir432,-5.8
antivir999,-5.9
antivir3566,-5.9
antivir1089,-4.2
antivir2342,-6.1
antivir3176,-5.2
antivir384,-5.9
antivir1730,-6.3
antivir2070,-6.7
antivir1563,-6.0
antivir1913,-6.7
antivir2492,-6.2
antivir107,-5.8
antivir3799,-5.9
antivir1837,-7.0
antivir2946,-5.8
